date,origin,destination,block_hours
2025-07-29,DOH,BUD,05:11
2025-07-30,BUD,DOH,04:58
2025-07-31,DOH,FRA,06:04
2025-08-01,FRA,DOH,05:47
2025-08-04,DOH,HAM,06:26
2025-08-05,HAM,DOH,05:48
2025-08-06,DOH,SVO,05:24
2025-08-07,SVO,DOH,05:16
2025-08-08,DOH,MAD,06:44
2025-08-10,MAD,DOH,06:38
2025-08-12,DOH,GOX,03:52
2025-08-12,GOX,DOH,03:22
2025-08-13,DOH,CPT,09:30
2025-08-15,CPT,DOH,09:39
2025-08-18,DOH,FRA,06:18
2025-08-19,FRA,DOH,05:59
2025-08-20,DOH,DPS,09:34
2025-08-22,DPS,DOH,08:47
2025-09-12,DOH,LHR,07:00
2025-09-13,LHR,DOH,06:37
2025-09-15,DOH,DXB,01:37
2025-09-15,DXB,DOH,01:12
2025-09-15,DOH,RUH,01:24
2025-09-15,RUH,DOH,01:29
2025-09-22,DOH,CAI,03:25
2025-09-22,CAI,DOH,03:00
2025-09-26,DOH,AKL,16:00
2025-09-29,AKL,DOH,17:56
2025-10-03,DOH,DUB,08:10
2025-10-04,DUB,DOH,06:50
2025-10-05,DOH,ARN,06:32
2025-10-07,ARN,DOH,06:21
2025-10-08,DOH,LHE,03:30
2025-10-09,LHE,DOH,03:34
2025-10-11,DOH,WAW,05:55
2025-10-12,WAW,DOH,05:34
2025-10-15,DOH,WAW,05:48
2025-10-16,WAW,DOH,05:35
2025-10-19,ARN,DOH,05:51
2025-10-22,DOH,DEL,03:29
2025-10-22,DEL,DOH,04:16
2025-10-24,DOH,YUL,13:23
2025-10-27,YUL,DOH,11:30
2025-10-30,DOH,MUC,05:56
2025-10-31,MUC,DOH,05:29
2025-11-07,DOH,TUN,05:54
2025-11-08,TUN,DOH,05:21
2025-11-09,DOH,KUL,07:27
2025-11-11,KUL,DOH,07:21
2025-12-01,DOH,BNE,13:52
2025-12-04,BNE,DOH,14:42
2025-12-09,DOH,BER,06:04
2025-12-10,BER,DOH,05:46
2025-12-16,DOH,MLE,04:20
2025-12-18,MLE,DOH,04:26
