date,dep,arr,aircraft,block_minutes
21/02/2019,DOH,LHR,351.0,428
22/02/2019,LHR,DOH,359.0,408
26/02/2019,DOH,JFK,351.0,848
28/02/2019,JFK,DOH,351.0,732
04/03/2019,DOH,KWI,359.0,86
04/03/2019,KWI,DOH,359.0,78
07/03/2019,MCT,DOH,359.0,118
07/03/2019,DOH,MCT,359.0,91
09/03/2019,DOH,MLE,359.0,326
11/03/2019,MLE,DOH,359.0,304
14/03/2019,DOH,BCN,359.0,435
15/03/2019,BCN,DOH,359.0,359
16/03/2019,DOH,MLE,359.0,300
18/03/2019,MLE,DOH,359.0,291
20/03/2019,DOH,BRU,359.0,395
22/03/2019,BRU,DOH,359.0,390
23/03/2019,DOH,MLE,359.0,271
25/03/2019,MLE,DOH,359.0,313
27/03/2019,DOH,MLE,359.0,282
29/03/2019,MLE,DOH,359.0,301
01/04/2019,DOH,VIE,359.0,321
02/04/2019,VIE,DOH,359.0,316
03/04/2019,DOH,MAD,359.0,438
05/04/2019,MAD,DOH,359.0,414
08/04/2019,DOH,ARN,359.0,377
09/04/2019,ARN,DOH,359.0,358
13/04/2019,DOH,MLE,359.0,296
15/04/2019,MLE,DOH,359.0,295
28/04/2019,DOH,VIE,359.0,338
29/04/2019,VIE,DOH,359.0,311
30/04/2019,DOH,MLE,359.0,288
02/05/2019,MLE,DOH,359.0,288
03/05/2019,DOH,HEL,359.0,349
04/05/2019,HEL,DOH,359.0,364
06/05/2019,DOH,HEL,359.0,351
07/05/2019,HEL,DOH,359.0,350
09/05/2019,DOH,LHR,359.0,416
10/05/2019,LHR,DOH,359.0,399
11/05/2019,DOH,MAD,359.0,435
13/05/2019,MAD,DOH,359.0,406
03/06/2019,DOH,ATH,359.0,268
04/06/2019,ATH,DOH,359.0,238
05/06/2019,DOH,MXP,359.0,368
06/06/2019,MXP,DOH,359.0,338
11/06/2019,DOH,MLE,359.0,284
12/06/2019,MLE,DOH,359.0,268
13/06/2019,DOH,VIE,359.0,332
15/06/2019,VIE,DOH,359.0,312
18/06/2019,DOH,OSL,359.0,397
19/06/2019,OSL,DOH,359.0,387
20/06/2019,DOH,MXP,359.0,347
21/06/2019,MXP,DOH,359.0,336
24/06/2019,DOH,DFW,351.0,961
26/06/2019,DFW,DOH,351.0,870
01/07/2019,DOH,DEL,359.0,242
02/07/2019,DOH,SGN,359.0,494
04/07/2019,SGN,PNH,359.0,54
04/07/2019,PNH,SGN,359.0,56
05/07/2019,SGN,DOH,359.0,457
10/07/2019,DOH,ZRH,359.0,377
11/07/2019,ZRH,DOH,359.0,332
12/07/2019,DOH,SGN,359.0,491
14/07/2019,SGN,PNH,359.0,57
14/07/2019,PNH,SGN,359.0,63
